"EN.1";"EN.2";"RO.1";"RO.2";"AR.1";"AR.2";"ES.1";"ES.2";"score"
"admission";"ticket";"intrare";"bilet";"إدخال";"تذكرة";"entrada";"boleto";7.69
"alcohol";"chemistry";"alcool";"chimie";"كحول";"كيمياء";"alcohol";"quimica";5.54
"aluminum";"metal";"aluminiu";"metal";"المونيوم";"معدن";"aluminio";"metal";7.83
"announcement";"effort";"anunţ";"efort";"تصريح";"جهد";"anuncio";"esfuerzo";2.75
"announcement";"news";"anunţ";"ştiri";"تصريح";"أخبار";"anuncio";"noticias";7.56
"announcement";"production";"anunţ";"producţie";"تصريح";"اْنتاج";"anuncio";"produccion";3.38
"announcement";"warning";"anunţ";"avertisment";"تصريح";"تحذير";"anuncio";"advertencia";6
"Arafat";"Jackson";"Arafat";"Jackson";"عرفات";"جاكسون";"Arafat";"Jackson";2.5
"Arafat";"peace";"Arafat";"pace";"عرفات";"سلام";"Arafat";"paz";6.73
"Arafat";"terror";"Arafat";"teroare";"عرفات";"الارهاب";"Arafat";"terror";7.65
"architecture";"century";"arhitectură";"secol";"معماري";"قرن";"arquitectura";"siglo";3.78
"arrangement";"accommodation";"aranjament";"cazare";"ترتيب";"إقامة";"alojamiento";"arreglo";5.41
"arrival";"hotel";"sosire";"hotel";"وصول";"فندق";"llegada";"hotel";6
"asylum";"madhouse";"azil";"sanatoriu";"ملجأ";"مأوى";"asilo";"manicomio";8.87
"atmosphere";"landscape";"atmosferă";"peisaj";"مناخ";"تضاريس";"atmosfera";"paisaje";3.69
"attempt";"peace";"încercare";"pace";"محاولة";"سلام";"intento";"paz";4.25
"baby";"mother";"bebeluş";"mamă";"طفل";"ام";"bebe";"madre";7.85
"bank";"money";"bancă";"bani";"بنك";"مال";"banco";"dinero";8.12
"baseball";"season";"baseball";"sezon";"بيسبول";"موسم";"beisbol";"temporada";5.97
"bed";"closet";"pat";"dulap";"سرير";"خزانة";"cama";"armario";6.72
"benchmark";"index";"etalon";"index";"مؤشر";"قياس";"referencia";"indice";4.25
"bird";"cock";"pasăre";"cocoş";"طير";"ديك";"pajaro";"gallo";7.1
"bird";"crane";"pasăre";"cocor";"طائر";"كركي";"pajaro";"grulla";7.38
"bishop";"rabbi";"episcop";"rabin";"أسقف";"حاخام";"obispo";"rabino";6.69
"board";"recommendation";"consiliu";"recomandare";"مجلس";"توصية";"junta";"recomendacion";4.47
"book";"library";"carte";"bibliotecă";"كتاب";"مكتبة";"libro";"biblioteca";7.46
"book";"paper";"carte";"hârtie";"كتاب";"ورقة";"libro";"papel";7.46
"boxing";"round";"box";"partidă";"ملاكمة";"جولة";"boxeo";"ronda";7.61
"boy";"lad";"băiat";"fecior";"ولد";"صبي";"chico";"muchacho";8.83
"bread";"butter";"pâine";"unt";"خبز";"زبدة";"pan";"mantequilla";6.19
"brother";"monk";"frate";"călugăr";"شقيق";"راهب";"hermano";"monje";6.27
"calculation";"computation";"calcul";"evaluare";"حساب";"محاسبات";"calculo";"computo";8.44
"canyon";"landscape";"canion";"peisaj";"وادي";"تضاريس";"canon";"paisaje";7.53
"car";"automobile";"maşină";"automobil";"سيارة";"عربه";"coche";"automovil";8.94
"car";"flight";"maşină";"zbor";"سيارة";"طيران";"carro";"vuelo";4.94
"cell";"phone";"celular";"telefon";"خليوي";"هاتف";"celula";"telefono";7.81
"cemetery";"woodland";"cimitir";"împădurire";"مقبرة";"غابة";"cementerio";"bosque";2.08
"century";"nation";"secol";"naţiune";"قرن";"أمة";"siglo";"nacion";3.16
"century";"year";"secol";"an";"قرن";"عام";"siglo";"ano";7.59
"championship";"tournament";"campionat";"turneu";"بطولة";"دورى";"campeonato";"torneo";8.36
"chance";"credibility";"şansă";"credibilitate";"فرصة";"مصداقية";"oportunidad";"credibilidad";3.88
"change";"attitude";"schimbare";"atitudine";"تغيير";"سلوك";"actitud";"cambio";5.44
"chord";"smile";"coardă";"zâmbet";"وتر";"ابتسامة";"acorde";"sonrisa";0.54
"closet";"clothes";"dulap";"haine";"خزانة";"ملابس";"armario";"ropa";8
"coast";"forest";"ţărm";"pădure";"ساحل";"غابة";"costa";"bosque";3.15
"coast";"hill";"ţărm";"deal";"ساحل";"تل";"costa";"colina";4.38
"coast";"shore";"ţărm";"mal";"ساحل";"شاطئ";"costa";"orilla";9.1
"company";"stock";"societate";"acţiune";"شركة";"اسهم";"compania";"accion";7.08
"competition";"price";"competiţie";"preţ";"منافسة";"سعر";"competencia";"precio";6.44
"computer";"internet";"calculator";"internet";"الحاسوب";"انترنت";"ordenador";"internet";7.58
"computer";"keyboard";"calculator";"tastatură";"الحاسوب";"طابعة";"computador";"teclado";7.62
"computer";"laboratory";"calculator";"laborator";"حاسوب";"مختبر";"computadora";"laboratorio";6.78
"computer";"news";"calculator";"ştiri";"كمبيوتر";"أخبار";"computadora";"noticias";4.47
"computer";"software";"calculator";"software";"كمبيوتر";"برامج";"computadora";"software";8.5
"concert";"virtuoso";"concert";"virtuoso";"حفلة";"مبدع";"concierto";"virtuoso";6.81
"consumer";"confidence";"consumator";"încredere";"مستهلك";"ثقة";"consumidor";"confianza";4.13
"consumer";"energy";"consumator";"energie";"مستهلك";"طاقة";"consumidor";"energia";4.75
"country";"citizen";"ţară";"cetăţean";"بلد";"مواطن";"pais";"ciudadano";7.31
"crane";"implement";"macara";"unealtă";"رافعة";"تنفيذ";"grua";"implemento";2.69
"credit";"card";"împrumut";"card";"ائتمان";"بطاقة";"credito";"tarjeta";8.06
"credit";"information";"împrumut";"informaţie";"ائتمان";"معلومات";"credito";"informacion";5.31
"cucumber";"potato";"castravete";"cartof";"خيار";"بطاطس";"pepino";"papa";5.92
"cup";"article";"ceaşcă";"articol";"كأس";"مقال";"taza";"articulo";2.4
"cup";"artifact";"ceaşcă";"artifact";"كأس";"الأداة";"taza";"artefacto";2.92
"cup";"coffee";"ceaşcă";"cafea";"كأس";"قهوة";"taza";"cafe";6.58
"cup";"drink";"ceaşcă";"băutură";"كأس";"شراب";"taza";"bebida";7.25
"cup";"entity";"ceaşcă";"entitate";"كأس";"كيان";"taza";"entidad";2.15
"cup";"food";"ceaşcă";"mâncare";"كأس";"طعام";"copa";"comida";5
"cup";"liquid";"ceaşcă";"lichid";"كأس";"سائل";"taza";"liquido";5.9
"cup";"object";"ceaşcă";"obiect";"كأس";"شئ";"taza";"objeto";3.69
"cup";"substance";"ceaşcă";"substanţă";"كأس";"مادة";"taza";"sustancia";1.92
"cup";"tableware";"ceaşcă";"veselă";"كأس";"سكين";"taza";"vajilla";6.85
"currency";"market";"monedă";"bursă";"عمله";"سوق";"moneda";"mercado";7.5
"day";"dawn";"ziuă";"zori";"يوم";"فجر";"amanecer";"dia";7.53
"day";"summer";"ziuă";"vară";"يوم";"صيف";"dia";"verano";3.94
"death";"inmate";"moarte";"rezident";"وفاة";"سجين";"muerte";"recluso";5.03
"death";"row";"moarte";"rând";"إعدام";"صف";"muerte";"fila";5.25
"decoration";"valor";"decoraţie";"vitejie";"ديكور";"جراءة";"decoracion";"valor";5.63
"delay";"news";"întârziere";"ştiri";"تأخير";"أخبار";"retraso";"noticias";3.31
"delay";"racism";"întârziere";"rasism";"تأخير";"عنصرية";"retraso";"racismo";1.19
"deployment";"departure";"detaşare";"plecare";"نشر";"رحيل";"partida";"despliegue";4.25
"deployment";"withdrawal";"detaşare";"retragere";"نشر";"انسحاب";"despliege";"retirada";5.88
"development";"issue";"dezvoltare";"problemă";"تنمية";"قضية";"desarrollo";"problema";3.97
"direction";"combination";"direcţie";"combinaţie";"الاتجاه";"مزج";"direccion";"combinacion";2.25
"disability";"death";"handicap";"deces";"عجز";"وفاة";"discapacidad";"muerte";5.47
"disaster";"area";"calamitate";"zonă";"كارثة";"منطقة";"desastre";"area";6.25
"discovery";"space";"descoperire";"spaţiu";"اكتشاف";"فضاء";"descubrimiento";"espacio";6.34
"dividend";"calculation";"dividend";"calcul";"عائد";"حساب";"dividendo";"calculo";6.48
"dividend";"payment";"dividend";"plată";"عائد";"دفع";"dividendo";"pago";7.63
"doctor";"liability";"doctor";"răspundere";"طبيب";"مسؤولية";"doctor";"responsabilidad";5.19
"doctor";"nurse";"doctor";"asistentă";"طبيب";"ممرضة";"doctor";"enfermera";7
"doctor";"personnel";"doctor";"personal";"طبيب";"موظف";"doctor";"personal";5
"dollar";"buck";"dolar";"bancnotă";"دولار";"عملة";"dolar";"ficha";9.22
