Word1;Word2;Mean;Std-dev
Auto;Fahrt;2.75;0.896854406
Auto;Polster;1.25;0.944089163
Autogramm;Küste;0.041666667;0.204124145
Autogramm;Unterschrift;3.541666667;0.779027636
Backöfen;Herd;3.416666667;0.717281502
Backöfen;Werkzeug;1.041666667;0.954584666
Berg;Herd;0;0
Berg;Küste;1.708333333;0.954584666
Berg;Wald;1.75;0.98907071
Bruder;Bursche;1.583333333;1.100065874
Bruder;Mönch;3.041666667;1.197067673
Bursche;Magier;0.583333333;0.583592075
Edelstein;Juwel;3.833333333;0.380693494
Fabel;Magier;1.541666667;1.178767472
Fahrt;Reis;3.25;0.675663925
Forst;Kirchhof;0.458333333;0.721060009
Forst;Wald;3.75;0.442325868
Friedhof;Hügel;0.916666667;0.829702234
Friedhof;Kirchhof;3;1.251086484
Friedhof;Psychiatrie;0.375;0.575779245
Friedhof;Wald;0.958333333;0.85867272
Gerät;Werkzeug;3;0.659380473
Glas;Becher;3.25;0.531609533
Glas;Juwel;1.083333333;0.775531608
Glas;Zauberer;0.583333333;0.775531608
Gockel;Hahn;4;0
Grinsen;Bursche;0.583333333;0.717281502
Grinsen;Lächeln;3.375;0.769669607
Grinsen;Werkzeug;0;0
Hahn;Reis;0;0
Hügel;Berg;3.458333333;0.588229966
Irrenhaus;Friedhof;0.333333333;0.637022057
Irrenhaus;Mönch;0.25;0.531609533
Irrenhaus;Obst;0.041666667;0.204124145
Irrenhaus;Psychiatrie;3.666666667;0.481543412
jung;Bursche;3.791666667;0.414851117
Junge;Fabel;0.375;0.575779245
jung;Hahn;0.291666667;0.464305621
Kraftfahrzeug;Auto;3.791666667;0.414851117
Kraftfahrzeug;Magier;0.041666667;0.204124145
Kran;Werkzeug;1.958333333;0.954584666
Kranich;Hahn;2.208333333;1.020620726
Küste;Forst;1.083333333;0.974307632
Küste;Reis;1.458333333;1.102533315
Küste;Ufer;3.666666667;0.481543412
Leibeigene;Sklave;3.833333333;0.380693494
Mittag;Mittagsstunde;3.541666667;0.588229966
Mittag;Schnur;0.041666667;0.204124145
Mönch;Orakel;0.541666667;0.779027636
Mönch;Sklave;0.583333333;0.775531608
Nahrung;Hahn;1.875;1.075922254
Nahrung;Obst;3.291666667;0.624093546
Obst;Backöfen;0.916666667;1.059805834
Orakel;Fabel;1.25;1.032093693
Polster;Juwel;0.291666667;0.550032937
Polster;Kissen;3.125;0.7974143
Schnur;Seil;3.375;0.646898957
Seil;Lächeln;0;0
Ufer;Hügel;1.25;1.073393643
Ufer;Wald;1.291666667;1.041702898
Vogel;Hahn;3.166666667;0.816496581
Vogel;Kranich;3.541666667;0.508977378
Vogel;Wald;1.625;1.095941128
Zauberer;Magier;3.958333333;0.204124145
Zauberer;Orakel;1.708333333;0.999093792
