asilo	manicomio	3.61
pajaro	gallo	3.05
pajaro	grulla	2.97
chico	muchacho	3.76
hermano	monje	2.82
coche	automovil	3.92
cementerio	bosque	0.95
acorde	sonrisa	0.13
costa	bosque	0.42
costa	colina	0.87
costa	orilla	3.7
grua	implemento	1.68
comida	fruta	3.08
comida	gallo	0.89
forestales	cementerio	0.84
horno	estufa	3.11
gema	joya	3.84
vidrio	mago	0.11
coche	viaje	1.16
viaje	pasaje	3.84
hermano	muchacho	1.66
muchacho	hechicero	0.42
mago	hechicero	3.5
mediodia	mediodia	3.42
monje	oraculo	1.1
monje	esclavo	0.55
mediodia	cuerda	0.08
gallo	viaje	0.08
orilla	bosque	0.63
herramienta	implementar	2.95
